x	y	new_x	new_y	pixel_x	pixel_y	selected
11	19	11.05	18.79	9182.4	12329.5	0
11	20	11.05	19.76	9182.4	12913.6	0
11	21	11.09	20.69	9208.2	13471.9	0
11	22	11.05	21.64	9182.4	14038.9	0
11	23	10.99	22.71	9148.0	14683.1	0
11	24	11.03	23.71	9173.8	15284.4	0
11	25	10.93	24.64	9113.7	15842.8	0
11	26	10.93	25.63	9113.7	16435.5	0
11	29	10.81	29.50	9046.9	18758.6	0
11	30	10.71	30.49	8986.7	19351.3	0
11	31	10.76	31.43	9012.5	19918.2	0
11	32	10.86	32.25	9072.6	20407.8	0
11	33	10.74	33.43	9003.9	21120.8	0
11	34	10.74	34.43	9002.3	21722.0	0
12	1	11.78	1.07	9607.3	1689.0	0
12	16	12.11	15.77	9800.9	10517.0	0
12	17	12.03	16.93	9749.3	11212.8	0
12	18	12.13	17.80	9809.5	11736.8	1
12	19	11.95	18.76	9706.4	12312.3	1
12	20	12.08	19.81	9783.7	12939.4	1
12	21	12.08	20.78	9783.7	13523.5	1
12	22	12.00	21.68	9732.2	14064.7	1
12	23	11.94	22.70	9697.8	14674.5	1
12	24	11.97	23.68	9715.0	15267.2	0
12	25	12.01	24.64	9740.7	15842.8	0
12	26	11.92	25.67	9689.2	16461.2	0
12	30	11.87	29.53	9656.7	18775.7	0
12	31	11.82	30.53	9631.0	19377.0	0
12	32	11.79	31.52	9613.8	19969.7	0
12	33	11.72	33.46	9570.8	21138.0	0
12	33	11.78	32.52	9605.2	20571.0	0
12	35	11.75	34.52	9588.0	21773.6	0
13	1	12.72	1.14	10152.6	1731.0	0
13	16	13.03	15.86	10333.5	10568.6	0
13	17	13.03	16.86	10333.5	11169.8	1
13	18	13.05	17.80	10342.0	11736.8	1
13	19	13.02	18.82	10324.9	12346.7	1
13	20	13.11	19.79	10376.4	12930.8	1
13	21	13.09	20.75	10367.8	13506.3	1
13	22	13.03	21.78	10333.5	14124.8	1
13	23	12.97	22.67	10299.1	14657.4	1
13	24	12.91	23.68	10264.7	15267.2	1
13	25	12.96	24.69	10290.5	15868.5	0
13	26	13.00	25.64	10316.3	16444.1	0
13	28	12.83	27.58	10214.2	17605.2	0
13	29	12.86	28.58	10235.0	18204.7	0
13	30	12.84	29.56	10223.9	18794.6	0
13	31	12.84	30.54	10223.7	19385.7	0
13	31	12.99	31.38	10309.7	19886.0	0
13	32	12.99	32.33	10309.7	20459.3	0
13	33	12.99	33.23	10309.7	20998.0	0
13	34	12.72	34.46	10155.1	21739.2	0
14	1	13.66	1.10	10697.8	1710.0	0
14	16	14.07	15.74	10934.7	10499.8	0
14	17	14.04	16.92	10917.6	11204.2	1
14	18	14.05	17.83	10926.2	11754.0	1
14	19	14.20	18.86	11012.1	12372.4	1
14	20	14.08	19.78	10943.3	12922.2	1
14	21	14.07	20.69	10934.7	13471.9	1
14	22	14.01	21.71	10900.4	14081.8	1
14	23	14.01	22.68	10900.4	14665.9	1
14	24	13.98	23.64	10883.2	15241.5	1
14	25	13.91	24.70	10840.3	15877.1	0
14	26	13.98	25.69	10883.2	16469.8	0
14	30	13.85	29.54	10807.8	18784.3	0
14	31	13.85	30.53	10807.8	19377.0	0
14	32	13.79	31.59	10773.4	20012.7	0
14	33	13.78	32.59	10764.8	20614.0	0
14	34	13.75	33.58	10747.7	21206.7	0
14	35	13.63	34.58	10681.2	21809.6	0
15	1	14.56	1.14	11222.1	1731.0	0
15	16	15.04	15.93	11501.7	10611.5	0
15	17	15.04	16.83	11501.7	11152.7	1
15	18	15.04	17.83	11501.7	11754.0	1
15	19	15.04	18.83	11501.7	12355.3	1
15	20	15.21	19.81	11596.2	12939.4	1
15	21	14.94	20.78	11441.6	13523.5	1
15	22	15.02	21.74	11484.5	14099.0	1
15	23	15.06	22.77	11510.3	14717.5	1
15	24	15.07	23.67	11518.9	15258.7	1
15	25	15.04	24.64	11501.7	15842.8	0
15	26	14.99	25.74	11467.3	16504.2	0
15	30	14.84	29.53	11383.3	18775.7	0
15	31	14.84	30.50	11383.3	19359.9	0
15	32	14.68	32.32	11288.8	20450.8	0
15	32	15.04	31.56	11497.2	19996.8	0
15	33	14.74	33.48	11323.2	21146.6	0
15	35	14.63	34.54	11258.4	21787.1	0
16	1	15.57	1.14	11809.3	1731.0	0
16	16	16.02	15.89	12068.6	10585.7	0
16	17	15.98	17.00	12042.8	11255.7	0
16	18	16.01	17.82	12060.0	11745.4	0
16	19	16.01	18.81	12060.0	12338.1	0
16	20	15.96	19.75	12034.3	12905.0	1
16	21	15.99	20.78	12051.4	13523.5	1
16	22	16.04	21.78	12077.2	14124.8	1
16	23	16.04	22.81	12077.2	14743.3	1
16	24	16.13	23.88	12128.7	15387.5	0
16	25	16.11	24.66	12120.2	15851.4	0
16	26	16.11	25.79	12120.2	16530.0	0
16	30	15.80	29.61	11941.7	18827.3	0
16	31	15.83	30.57	11958.8	19402.8	0
16	35	15.80	34.61	11939.5	21826.4	0
17	1	16.70	1.21	12459.4	1772.9	0
17	16	16.94	15.93	12601.2	10611.5	0
17	17	16.94	16.97	12601.2	11238.6	0
17	18	17.03	17.80	12652.7	11736.8	0
17	19	17.27	18.89	12790.2	12389.6	0
17	20	17.12	19.84	12704.3	12956.6	1
17	21	17.12	20.82	12704.3	13549.3	1
17	22	17.07	21.72	12678.5	14090.4	1
17	23	17.18	22.64	12738.6	14640.2	0
17	24	17.12	23.74	12704.3	15301.6	0
17	25	17.12	24.70	12704.3	15877.1	0
17	26	17.12	25.80	12704.3	16538.6	0
17	27	16.97	27.44	12619.3	17522.4	0
17	29	16.97	28.53	12619.3	18176.8	0
17	30	16.88	29.53	12565.6	18776.2	0
17	31	16.90	30.55	12579.0	19390.5	0
17	32	16.93	31.55	12593.1	19990.8	0
17	33	17.02	32.51	12645.5	20564.1	0
17	35	16.83	34.66	12535.4	21854.2	0
18	1	17.67	1.14	13025.7	1731.0	0
18	16	18.03	15.89	13236.8	10585.7	0
18	17	18.03	16.93	13236.8	11212.8	0
18	18	18.02	17.92	13228.3	11805.5	0
18	19	18.18	18.91	13322.7	12398.2	0
18	20	18.15	19.89	13305.6	12990.9	0
18	21	18.15	20.89	13305.6	13592.2	0
18	22	18.14	21.90	13297.0	14193.5	0
18	23	18.15	22.78	13305.6	14726.1	0
18	24	18.15	23.91	13305.6	15404.7	0
18	25	18.15	24.74	13305.6	15902.9	0
18	26	18.09	25.93	13271.2	16615.9	0
18	35	17.85	34.66	13130.7	21859.9	0
19	1	18.75	1.17	13654.8	1751.9	0
19	16	19.34	15.93	13992.8	10611.5	0
19	17	19.28	17.02	13958.4	11264.3	0
19	18	19.29	17.89	13967.0	11788.3	0
19	19	19.28	18.85	13958.4	12363.8	0
19	20	19.23	19.81	13932.6	12939.4	0
19	21	19.22	20.71	13924.0	13480.5	0
19	22	19.20	21.81	13915.5	14142.0	0
19	23	19.09	22.98	13846.7	14846.3	0
19	24	19.03	23.96	13812.4	15430.5	0
19	25	19.04	25.04	13821.0	16083.3	0
19	26	19.03	25.94	13812.4	16624.5	0
19	35	18.78	34.66	13667.6	21859.9	0
20	1	19.69	1.17	14200.1	1751.9	0
20	16	20.02	15.96	14387.9	10628.7	0
20	17	20.05	16.92	14405.1	11204.2	0
20	18	20.08	17.96	14422.3	11831.3	0
20	19	19.97	18.93	14362.1	12415.4	0
20	20	19.99	19.94	14370.7	13016.7	0
20	21	19.96	20.98	14353.5	13643.7	0
20	22	20.06	22.07	14413.7	14296.6	0
20	23	20.02	22.98	14387.9	14846.3	0
20	24	19.97	24.03	14362.1	15473.4	0
20	25	20.00	24.91	14379.3	16006.0	0
20	26	20.08	25.90	14422.3	16598.7	0
20	35	19.85	34.66	14288.3	21859.9	0
21	1	20.78	1.17	14829.2	1751.9	0
21	35	20.80	34.64	14842.0	21843.1	0
22	1	21.65	1.31	15332.5	1835.8	0
22	35	21.81	34.80	15429.2	21943.8	0
23	1	22.80	1.45	16003.6	1919.7	0
23	35	22.88	34.86	16049.9	21977.4	0
24	1	23.74	1.45	16548.9	1919.7	0
24	35	23.92	34.89	16653.9	21994.1	0
25	1	24.79	1.49	17157.1	1940.7	0
25	35	24.96	34.75	17257.9	21910.2	0
26	1	25.77	1.45	17723.3	1919.7	0
26	35	25.98	34.80	17845.1	21943.8	0
27	1	26.92	1.42	18394.4	1898.7	0
27	35	26.96	34.78	18415.5	21927.0	0
28	1	27.72	1.45	18855.7	1919.7	0
28	35	28.00	34.80	19019.5	21943.8	0
29	1	28.80	1.45	19484.9	1919.7	0
29	35	28.98	34.86	19589.9	21977.4	0
30	2	29.74	1.52	20030.1	1961.6	0
30	35	30.02	34.86	20193.9	21977.4	0
31	1	30.82	1.49	20659.3	1940.7	0
31	17	31.48	17.30	21039.2	11431.2	0
31	18	31.46	18.28	21030.6	12021.8	0
31	19	31.50	19.38	21049.9	12681.1	0
31	20	31.40	20.18	20996.2	13164.3	0
31	21	31.38	21.17	20979.1	13757.0	0
31	22	31.36	22.18	20970.5	14366.9	0
31	23	31.30	23.14	20936.1	14942.4	0
31	24	31.39	24.12	20987.7	15526.5	0
31	35	31.01	34.92	20764.3	22010.9	0
32	2	31.91	1.52	21288.4	1961.6	0
32	17	32.48	17.32	21621.2	11448.4	0
32	18	32.44	18.26	21597.5	12013.2	0
32	19	32.47	19.40	21616.9	12691.8	0
32	20	32.43	20.18	21588.9	13164.3	0
32	21	32.46	21.17	21606.1	13757.0	0
32	22	32.40	22.21	21571.8	14384.0	0
32	23	32.31	23.11	21520.2	14925.2	0
32	24	32.28	24.13	21503.0	15535.1	0
32	31	32.05	31.12	21367.9	19732.5	0
32	32	32.00	32.09	21339.8	20313.1	0
32	33	31.95	33.03	21311.7	20876.0	0
32	34	32.02	34.02	21353.9	21474.2	0
32	35	31.90	34.94	21284.4	22027.7	0
33	2	32.81	1.59	21812.7	2003.6	0
33	2	33.90	1.59	22441.9	2003.6	0
33	3	33.82	2.55	22398.3	2580.1	0
33	4	33.80	3.58	22384.9	3197.5	0
33	4	33.80	4.50	22384.9	3747.8	0
33	6	33.80	5.55	22384.9	4378.6	0
33	7	33.73	7.48	22344.7	5535.3	0
33	7	33.75	6.56	22358.7	4985.7	0
33	8	33.75	8.43	22358.1	6110.0	0
33	9	33.50	9.35	22210.4	6660.3	0
33	10	33.68	10.41	22316.9	7299.3	0
33	11	33.67	11.49	22310.1	7945.9	0
33	12	33.73	12.47	22346.1	8532.4	0
33	13	33.66	13.48	22304.5	9138.9	0
33	14	33.53	14.40	22227.8	9692.6	0
33	15	33.54	15.40	22234.8	10290.7	0
33	16	33.46	16.30	22190.2	10836.4	0
33	17	33.62	17.33	22282.6	11450.6	0
33	18	33.46	18.25	22190.2	12004.6	0
33	19	33.58	19.34	22259.0	12659.6	0
33	20	33.40	20.24	22155.9	13198.6	0
33	21	33.41	21.07	22161.0	13699.4	0
33	22	33.33	22.19	22115.8	14371.3	0
33	23	33.31	23.19	22100.2	14969.7	0
33	24	33.24	24.02	22062.7	15468.9	0
33	25	33.13	24.95	21997.1	16025.9	0
33	26	33.13	25.82	21997.1	16550.2	0
33	27	33.07	26.97	21964.4	17238.3	0
33	28	33.13	27.95	21997.1	17828.2	0
33	29	33.07	29.04	21964.4	18483.5	0
33	30	33.02	30.13	21931.6	19138.9	0
33	31	33.00	31.09	21923.9	19714.9	0
33	32	33.10	32.09	21980.2	20316.6	0
33	33	33.03	32.98	21941.5	20847.9	0
33	34	33.02	34.03	21930.9	21477.7	0
33	35	32.88	34.89	21854.9	21994.1	0
